FISHERIES_WATERBODY_ID,LAKE_NAME,ALT_LAKE_NAME,DOW_NBR_PRIMARY,DOW_SUB_BASIN_NBR_PRIMARY,FETCH_ORIENTATION_DEGREES,LAKE_AREA_DOW_ACRES,LAKE_AREA_GIS_ACRES,LAKE_AREA_MN_ACRES,LAKE_AREA_PLANIMETERED_ACRES,LAKE_CENTER_LAT_DD5,LAKE_CENTER_LONG_DD5,LAKE_CENTER_UTM_EASTING,LAKE_CENTER_UTM_NORTHING,LAKE_CLASS_ID_PRIMARY,LAKE_CLASS_ID_ALTERNATE,LARGE_LAKE_FLAG,LITTORAL_AREA_ACRES,MAX_DEPTH_FEET,MAX_FETCH_MILES,MEAN_DEPTH_FEET,PLS_SECTION_ID_LAKE_CENTER,SHORE_LENGTH_MILES,UTM_DATUM_ID,UTM_ZONE_ID,WATERSHED_MINOR_ID
"16,479",Unnamed,,560862.0,0.0,,61.0,24,24,,46.31767,-96.07075,"263,462","5,133,819",,,N,0.0,,,,"13,304,322",1.0,83.0,15.0,"56,062"
"16,480",Unnamed,,560903.0,0.0,,36.0,22,22,,46.49351,-96.13483,"259,436","5,153,658",,,N,0.0,,,,"13,504,320",1.0,83.0,15.0,"56,046"
"16,481",Halverson,Halvorson,560912.0,0.0,,106.0,25,25,,46.53653,-96.12432,"260,432","5,158,405",,,N,0.0,,,,"13,504,305",1.0,83.0,15.0,"56,028"
"16,482",Unnamed,Mill Pond,560920.0,0.0,,16.0,24,24,,46.57207,-96.07551,"264,605","5,162,235",,,N,0.0,13.0,,,"13,604,322",2.0,83.0,15.0,"56,028"
"16,483",Unnamed,,561003.0,0.0,,17.0,15,15,,46.37972,-96.17773,"255,741","5,141,175",,,N,0.0,,,,"13,404,436",1.0,83.0,15.0,"56,047"
"16,484",Unnamed,,561177.0,0.0,,47.0,10,10,,46.68883,-96.14442,"259,566","5,175,389",,,N,0.0,,,,"13,704,308",1.0,83.0,15.0,"56,005"
"16,485",Unnamed,,561283.0,0.0,,79.0,26,26,,46.52122,-95.40133,"315,815","5,154,900",,,N,0.0,,,,"13,503,707",2.0,83.0,15.0,"56,036"
"16,486",Unnamed,,561339.0,0.0,,28.0,12,12,,46.59244,-95.65697,"296,540","5,163,488",,,N,0.0,,,,"13,603,918",1.0,83.0,15.0,"56,020"
"16,487",Mud,,561344.0,0.0,,13.0,10,10,,46.7114,-95.63106,"298,902","5,176,455",,,N,0.0,,,,"13,703,905",1.0,83.0,15.0,"56,012"
"16,488",Unnamed,,561354.0,0.0,,12.0,12,12,,46.19301,-95.65627,"295,038","5,118,923",,,N,0.0,,,,"13,104,001",1.0,83.0,15.0,"56,059"
"16,489",Unnamed,,561433.0,0.0,,50.0,37,37,,46.25903,-95.73469,"289,240","5,126,463",,,N,0.0,,,,"13,204,008",2.0,83.0,15.0,"56,108"
"16,490",Unnamed,,561638.0,0.0,,11.0,15,15,,46.60905,-95.75645,"288,972","5,165,313",,,N,0.0,,,,"13,604,008",1.0,83.0,15.0,"56,021"
"16,491",Unnamed,,561657.0,0.0,,10.0,16,16,,46.6532,-95.94522,"274,506","5,170,802",,,N,0.0,,,,"13,704,226",1.0,83.0,15.0,"56,026"
"16,492",Goose,,570001.0,0.0,,35.0,42,42,,48.05677,-96.47698,"240,934","5,328,460",,,N,0.0,,,,"15,304,520",1.0,83.0,15.0,"63,038"
"16,493",Unnamed,,580173.0,0.0,,195.0,72,72,,45.97172,-92.9156,"506,539","5,090,908",,,N,0.0,,,,"4,002,112",3.0,83.0,15.0,"36,072"
"16,494",Unnamed,,580203.0,0.0,,20.0,13,13,,46.3099,-92.51129,"537,630","5,128,597",,,N,0.0,,,,"4,401,708",1.0,83.0,15.0,"35,045"
